repo,category,sns_directness_score,capability,sns_use_case,stars,fork,archived,license_spdx,language,updated_at,pushed_at,metadata_status,stars_rank,recommended_score,recommended_rank
TencentARC/PhotoMaker,identity_image_ai,82,Personalized photo generation,Creator/UGC thumbnail portraits,10087,False,False,NOASSERTION,Jupyter Notebook,2026-09-01T05:05:56Z,2024-10-31T09:35:15Z,ok,36,72.2,40
nhn/tui.image-editor,image_editor,82,Browser image editor,Manual/templated thumbnail editing,7673,False,False,MIT,JavaScript,2026-09-01T13:14:38Z,2023-11-20T10:48:41Z,ok,37,70.29,42
imgly/background-removal-js,background_removal_ai,94,Browser background removal,Product cutouts for social creatives,7296,False,False,AGPL-3.0,TypeScript,2026-09-02T01:58:38Z,2025-07-18T12:56:39Z,ok,38,81.12,15
cubiq/ComfyUI_IPAdapter_plus,ai_control,82,Reference-image control nodes for ComfyUI,Brand/product reference consistency,6122,False,False,GPL-3.0,Python,2026-09-01T18:31:37Z,2025-04-14T07:29:17Z,ok,39,75.54,29
disintegration/imaging,image_processing,72,Go imaging package,Programmatic thumbnail composition,5756,False,False,MIT,Go,2026-09-02T00:44:26Z,2023-09-21T02:16:10Z,ok,40,64.83,49
coobird/thumbnailator,thumbnail_processing,72,Java thumbnail library,Thumbnail resizing/composition backend,5427,False,False,MIT,Java,2026-08-31T23:07:49Z,2026-02-17T17:48:42Z,ok,41,75.64,28
mcmonkeyprojects/SwarmUI,ai_image_engine,82,Multi-backend generative AI UI,"Batch thumbnails, image workflows",4524,False,False,MIT,C#,2026-09-01T23:17:23Z,2026-09-01T23:17:19Z,ok,42,79.53,18
vercel/og-image,social_card_generator,98,Open Graph image as a service,Direct social preview and card generation,4042,False,True,MIT,TypeScript,2026-08-31T19:07:46Z,2023-01-20T23:48:47Z,ok,,,
cshum/imagor,image_processing,80,Fast image processing server,Dynamic thumbnails and social variants,4015,False,False,Apache-2.0,Go,2026-09-01T16:21:46Z,2026-08-31T08:25:41Z,ok,43,72.63,37
h2non/bimg,image_processing,68,Go bindings for libvips,High-volume social image processing,3029,False,False,MIT,Go,2026-08-28T23:58:34Z,2025-01-23T09:51:09Z,ok,44,63.69,51
yisibl/resvg-js,render_engine,74,SVG renderer for Node.js,SVG social card rendering,1982,False,False,MPL-2.0,TypeScript,2026-09-01T14:11:41Z,2026-06-30T20:34:55Z,ok,45,68.78,44
muesli/smartcrop,smart_crop,88,Smart image cropping,Subject-aware thumbnail crops,1855,False,False,MIT,Go,2026-08-24T01:14:50Z,2023-07-06T12:16:16Z,ok,46,65.06,48
TencentARC/BrushNet,image_editing_ai,72,Image inpainting/editing model,Selective creative editing,1744,False,False,NOASSERTION,Python,2026-08-30T05:00:21Z,2024-12-17T13:49:54Z,ok,47,63.86,50
kvnang/workers-og,social_card_generator,95,Cloudflare Workers OG image generation,Serverless social/OG cards,356,False,False,MIT,TypeScript,2026-08-29T20:22:26Z,2025-06-12T00:34:59Z,ok,48,71.32,41
simonhamp/the-og,social_card_generator,93,Open Graph image generator,Direct social sharing graphics,307,False,False,MIT,PHP,2026-08-03T23:49:13Z,2026-05-16T08:10:43Z,ok,49,75.33,31
yznts/oxigen,social_card_generator,94,Open Graph image generator,Direct OG/social images,132,False,False,UNKNOWN,HTML,2026-02-18T01:41:35Z,2024-05-28T06:40:59Z,ok,50,60.78,52
FoundDream/editorial-card-generator-skill,social_card_generator_ai,99,Editorial card generator skill,AI-assisted editorial/social cards,42,False,False,MIT,,2026-08-23T03:46:02Z,2026-01-09T03:57:19Z,ok,51,70.27,43
ogimg/ogimg,social_card_generator,97,Open Graph image generator,Direct social cards,23,False,False,Apache-2.0,TypeScript,2026-09-01T14:01:35Z,2026-03-03T07:38:15Z,ok,52,65.83,47
Dynobase/serverless-opengraph-image-generator,social_card_generator,96,Serverless OG image generator,Direct social preview generation,15,False,False,UNKNOWN,HTML,2026-04-07T08:56:23Z,2022-03-26T11:44:41Z,ok,53,52.23,54
open-sauced/opengraph,social_card_generator,90,Open Graph image generator,Direct social card generation,6,False,True,MIT,TypeScript,2024-08-13T15:13:13Z,2024-07-26T20:13:53Z,ok,,,
Kocal/open-graph-image-generator,social_card_generator,97,Open Graph image generator,Direct OG/social card generation,5,False,False,UNKNOWN,PHP,2025-11-25T07:54:17Z,2025-11-25T07:54:13Z,ok,54,56.22,53
flavioribeiro/video-thumbnail-generator,video_thumbnail,92,Video thumbnail generator,Video/SNS thumbnail extraction,0,,,UNKNOWN,,,,error:RemoteDisconnected: Remote end closed connection without response,,,
