source_id,repo_owner,repo_name,github_url,file_path,license_spdx,usage_class,attribution_required,share_alike,noncommercial_only,stars,last_commit,retrieved_at,source_commit_sha,sha256
11,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/ad-creative/references/meta-creative-formats.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,09720c4550761365a8c93c8587fe629c87718dbb331677312d93e5b2faa9761f
12,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/ad-creative/references/motion-video-ads.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,c64e83199f0316e12e7811667f09a6475a34044c8eec2e3ba549faf9c33fc28c
13,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/ad-creative/references/platform-specs.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,de69753161071a8d3e4d244280562810a6c4d6ae2696c5a21940f983abd0aa8e
14,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/ad-creative/references/short-form-video-specs.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,58220fe7abc8175f3712822960a3c7ad226421bd76c06fbc16257f0d312dd86f
15,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/ad-creative/references/static-ad-templates.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,4eb05b2c8948ec3b76968815ee4b75039323627717289bd803729d587082d792
16,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/copywriting/SKILL.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,ce18137ae31ab37f261078501431649865ab6b403054d97490754e82acb002d8
17,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/copywriting/evals/evals.json,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,f062a21fea6ec6eff7157caf051142fa376fbfe6284c7d1d185371de6acedb9b
18,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/copywriting/references/copy-frameworks.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,d98818886525908bf17dd6412d0b72731b313d6eef3e1ab6b365828a3a342779
19,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/copywriting/references/natural-transitions.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,4ff23f8943af2f65b072f26f1c53ce55f19cc26d7be211c11cae8e34b43e859f
20,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/marketing-psychology/SKILL.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,573bbe4f6e300e7fb75299e314f56e26382d284782caa2ae0e0f33eb2e646548
21,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/marketing-psychology/evals/evals.json,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,c3b7d15b3008eeb493796e21affd6a0c6e7ce312f9cfeffcdef467857903c733
22,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/social/SKILL.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,8cc93d9b361622cdb640e87969747b85603bed2d268e923179f8dfb4799ec8c7
23,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/social/evals/evals.json,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,99b4a893db8dfa82484d0d6e1eaa730258576274de16999ba016f9906d07a36b
24,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/social/references/carousel-frameworks.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,e7d56048a38de90f1f26f3cac8880f3d263a8bdd5fc0c9460d50aef135654768
25,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/social/references/listening-sources-template.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,c68bc6f57b0a48c432b1ce72c9324d41a04d0e7784d0bab91afb4a6065a43e38
26,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/social/references/listening.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,a1049663d7ed37864bcd58e15ae5e8f03c8edcaca37d8de4f7e38896d94fbf93
27,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/social/references/platform-limits.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,6ecc6b40ff82b95c48906341f7d3c58337671d4d94f624c858764f1ed5a77c3c
28,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/social/references/platforms.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,3c4e1b15717a3bcd4ed0cf29dc167dac28aa88bbf01723fde53815122396090f
29,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/social/references/post-templates.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,febd0aca9557e6575188379f012b019b36839926bdf7924661f125f900b24d0f
30,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/social/references/reverse-engineering.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,c27bef59d463b3b11331c1770f4a23e9e6bbce7d7c8db1e7f7f4f14ba206243f
31,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/social/references/short-form-video.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,38e7de4049f39d116b815a8d07f5e45777501e9f506e3a5fe005c5d204d32ee7
32,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/video/SKILL.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,3b6d4864bae49dd3d60e7f6218e0de0803633989d68bdcf093a3771307387ac2
33,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/video/evals/evals.json,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,9f935c91490d5fe9e0170e360baa69edac8dd586921ff631e0a83991b5afe636
34,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/video/references/ai-video-prompting.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,210eaecc05367aacbaf35660ed7352809e31fb326123d0cfd6ab03c09681d13e
35,coreyhaines31,marketingskills,https://github.com/coreyhaines31/marketingskills,skills/video/references/edit-anatomy.md,MIT,COMMERCIAL_OK,0,0,0,46514,2026-09-02T02:33:16Z,2026-09-02T06:56:33.792139+00:00,d4ff28a9c8d56c06809860bf2800d4f5224b52db,51319196939e75b29fd1f00ef393e1772043e79dbf0a19c82145060cc62fde7f
36,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,LICENSE,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,be8811056fcb4e42ffc633e7d6a81d24891b08df063e58178128c5061257265d
37,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,README.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,d5fa06cb78e2b7c993a6833cd6489aa6ab6ee13f0b238f99cc40908429cc4c22
38,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-captions-and-ctas/SKILL.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,f8c1b642c35e7cddffa4f474c6e2a38d705a62d4973d9942f3c6d4a04b99363a
39,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-captions-and-ctas/assets/bait-check.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,bfe73d21b8804866e24f9a408bff7f6cd38fe86d7824408724e4e19f0fccc54b
40,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-captions-and-ctas/assets/caption-template.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,ab35d004718d2447f10ded4d7d34a68e3f24a9f069e9ef8868ad69110edaef0f
41,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-captions-and-ctas/assets/cta-picker.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,4102ce6d5815bcb1a4a8965673dadee7d14b5ab54ef8e9f95e70ad8475a4acdb
42,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-captions-and-ctas/assets/on-screen-text-spec.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,f755ad6f113b3f5598716c238d30937abb88c59edbe4f26e7f493b5ffe5016c1
43,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-captions-and-ctas/assets/pinned-comment-template.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,6e6d8bbad061d62c4d200966fc8106d59e14be601c3a16372cd16235858eabfc
44,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-captions-and-ctas/references/anti-patterns.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,27205fc16261149ccc7b2b55b3a57c74639c3f0fe98c3b066888735248f497ec
45,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-captions-and-ctas/references/caption-craft.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,13d9926c65c24788a01d98998e4b1b3c011bb9d50c586ed8c118ce530186463a
46,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-captions-and-ctas/references/ctas-that-work.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,f3fbd5b4139c2477fb91ab86e63613f102b778b479595bf9db3733977fafc28f
47,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-captions-and-ctas/references/hashtag-reality.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,50ea529de58ce0cfc1787cd4cff98462781a3b7f52ddc98aaa079ccf179cda04
48,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-captions-and-ctas/references/on-screen-text.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,66df927ee20711e7ce0acffe203b2fdfed44e0146ae086f35c800363b1c0ad88
49,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-captions-and-ctas/references/pinned-comments.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,57688b39043e105691026a0ea465f605952c56ffcde285d9a14bfe6992dba568
50,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-hooks/SKILL.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,4a9548a9c90623d424dc7ea0e1a5d62519eef610c59283575d7929c394b9ebb9
51,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-hooks/assets/hook-batch-template.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,0282a4e709486d011633ec47a34f0e53d1ae968d9172194415e065767461a378
52,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-hooks/assets/hook-checklist.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,884daf3f5de7188e615d9bc9d22888b7ffca9d376abfd9413e4b598c23004869
53,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-hooks/assets/three-layer-worksheet.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,5841c71ee3bdb26c420717900b64da2dc70c46cdd238dffde7542ccad42967e4
54,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-hooks/references/hook-anti-patterns.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,4cc90d9839d76e0d566f3b655be274d5d866d63176dc426d4d9a21c1a62c2cf3
55,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-hooks/references/hook-archetypes.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,418de890371d57e0e1aca5dfa47f30357d35e932c34896849a00bbb0ba875ff2
56,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-hooks/references/hook-by-platform.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,2e4e72c1bfee8d616ed30228fced8bc92a2b1475c3d92063d8d7a16c8298c54f
57,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-hooks/references/hook-tactics.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,89ec65f47ea8cf47b70ef79c4b87e352091f4d4d434d9e4be1d9f6f68bb999e0
58,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-hooks/references/three-layer-hook.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,726b6025520f36c4b42250f71dfadd7c97e2b4253c0c8703e52898c5ed0d3017
59,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-short-form/README.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,952352abe637946ca134868e8ccceecfc3cc2e67ee57645a160085dc0022c5ea
60,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-short-form/SKILL.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,d6563c8c5b4231ef18729bbd4b2888badb376962d23ce7ae62b3220608834d28
61,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-short-form/assets/carousel-outline.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,7315711bacd3f16699f79c092d06593a2f82c3d7439719cfbc7051177a34987a
62,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-short-form/assets/hook-checklist.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,6456655d33648fae3d2b1b92328ea938f5dc9dd42b4d25dd842196d29e1c1a6c
63,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-short-form/assets/script-template.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,6dbdcf994a6c50f6647399ffa708f7f30812572892542ab6bee6f0d2cb563f2e
64,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-short-form/references/formats.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,9f878f916893dcb11e51646de15f1b6e1dcf669b1de5df1dcb4c6bdcb38434f1
65,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-short-form/references/hooks.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,af4e48a26c8bf25b5ce02e0e0f341df441837414467b424196e3ef9705d0abc3
66,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-short-form/references/metrics-honesty.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,5ede2a2e048961ad99eaddd4ef49cd9230d02ed8e0300e52d26295a2ab7b91a8
67,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-short-form/references/platforms.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,07c57e889cfb300e1dbe7bd7d3bee355448c6f3bc6d5362dbf23e4e0c72d9386
68,vyralcontent,content-skills,https://github.com/vyralcontent/content-skills,skills/viral-short-form/references/retention.md,MIT,COMMERCIAL_OK,0,0,0,92,2026-06-22T06:23:12Z,2026-09-02T06:58:20.369869+00:00,349e495d97029a3e6303a7510e3f39c73f36d8fe,b17d82377441091ef08b57b6e32b046b7c53956d1a87e94ad63b59d4c4f1ba06
69,rediumvex,viral-hooks-skill,https://github.com/rediumvex/viral-hooks-skill,LICENSE,MIT,COMMERCIAL_OK,0,0,0,80,2026-05-05T11:18:26Z,2026-09-02T06:59:20.238791+00:00,e26b339ccf452abf43bb97df54603e4781ae0a8e,6b7165fa017094540204d12b5502e9ef7c0f599d0fadb81c3ce8a613b83c53bb
70,rediumvex,viral-hooks-skill,https://github.com/rediumvex/viral-hooks-skill,README.md,MIT,COMMERCIAL_OK,0,0,0,80,2026-05-05T11:18:26Z,2026-09-02T06:59:20.238791+00:00,e26b339ccf452abf43bb97df54603e4781ae0a8e,9f4816798e5bb6088d688bf08c5c370c6b4e19efa061130968601bc2458b859f
71,rediumvex,viral-hooks-skill,https://github.com/rediumvex/viral-hooks-skill,SKILL.md,MIT,COMMERCIAL_OK,0,0,0,80,2026-05-05T11:18:26Z,2026-09-02T06:59:20.238791+00:00,e26b339ccf452abf43bb97df54603e4781ae0a8e,c8b199cdaa8f7a7d2e1a3ceaf213e93db599aa8ea35d1f06cab3f87c887c2f97
72,rediumvex,viral-hooks-skill,https://github.com/rediumvex/viral-hooks-skill,hooks-database.md,MIT,COMMERCIAL_OK,0,0,0,80,2026-05-05T11:18:26Z,2026-09-02T06:59:20.238791+00:00,e26b339ccf452abf43bb97df54603e4781ae0a8e,08c319388ad4814b4533cf4813650366dea58f7c0083e879bd2a86ef114b9aba
73,social-media-skills,skills,https://github.com/social-media-skills/skills,LICENSE,MIT,COMMERCIAL_OK,0,0,0,57,2026-08-27T19:54:48Z,2026-09-02T06:59:31.584291+00:00,6e30eeb2f6736bda8683b6bbaa674af3641d7945,0da5befdfbe93f4dd08098d43fcd115c8455ae4fef7672f800e761e843727c13
74,social-media-skills,skills,https://github.com/social-media-skills/skills,skills/before-after-and-transformation/SKILL.md,MIT,COMMERCIAL_OK,0,0,0,57,2026-08-27T19:54:48Z,2026-09-02T06:59:31.584291+00:00,6e30eeb2f6736bda8683b6bbaa674af3641d7945,b62d6d1f3b5f3a716a0747fa0d0d45b44eb509a04ad47000f97aa265e8506bb2
75,social-media-skills,skills,https://github.com/social-media-skills/skills,skills/before-after-and-transformation/evals/evals.json,MIT,COMMERCIAL_OK,0,0,0,57,2026-08-27T19:54:48Z,2026-09-02T06:59:31.584291+00:00,6e30eeb2f6736bda8683b6bbaa674af3641d7945,f883939f2e8cb7542eaa93dca81640691fadfb279eaf7ba8125f90d0dab81208
76,social-media-skills,skills,https://github.com/social-media-skills/skills,skills/before-after-and-transformation/references/before-after-and-transformation-2026-reality.md,MIT,COMMERCIAL_OK,0,0,0,57,2026-08-27T19:54:48Z,2026-09-02T06:59:31.584291+00:00,6e30eeb2f6736bda8683b6bbaa674af3641d7945,083b2627884e3946310a840a5c0376ec032ff9ee6258a04709ae86cddfcdb27b
