class_v2,metadata_score,repo,media_type,model_family,repo_quality_score,source_role,specialization,use_case,source_kind,license_spdx,origin_status,class_reason,url
ARCHIVE,55.1,Maritaminded209/awesome-ideogram-4.0-prompts,image,ideogram_4,78,specialized,Ideogram 4.0 prompts,Ideogram 4.0 prompts,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/Maritaminded209/awesome-ideogram-4.0-prompts.git
ARCHIVE,54.7,midjgpt/awesome-midjourney-zh,image,midjourney_zh,78,supplemental,midjourney_zh,midjourney_zh,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/midjgpt/awesome-midjourney-zh.git
ARCHIVE,54.7,dongyubin/Awesome-AI-Images-Prompts,image,multi_image,78,supplemental,multi_image,multi_image,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/dongyubin/Awesome-AI-Images-Prompts.git
ARCHIVE,54.7,loo-y/awesome-nano-banana-prompts,image,nano_banana,78,supplemental,nano_banana,nano_banana,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/loo-y/awesome-nano-banana-prompts.git
ARCHIVE,54.7,yuyan124/awesome-stable-diffusion-prompts,image,stable_diffusion,78,supplemental,stable_diffusion,stable_diffusion,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/yuyan124/awesome-stable-diffusion-prompts.git
ARCHIVE,54.7,DSeaStar/awesome-kling,video,kling,78,supplemental,kling,kling,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/DSeaStar/awesome-kling.git
ARCHIVE,54.7,velokey-ai/awesome-seedream-5.0-pro-prompts,image,seedream_5_pro,78,supplemental,seedream_5_pro,seedream_5_pro,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/velokey-ai/awesome-seedream-5.0-pro-prompts.git
ARCHIVE,54.7,VoidLight00/video-generation-prompts,video,multi_video,78,supplemental,multi_video,multi_video,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/VoidLight00/video-generation-prompts.git
ARCHIVE,54.7,cclank/lanshu-awesome-ai-video-kit,video,multi_video,78,supplemental,multi_video,multi_video,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/cclank/lanshu-awesome-ai-video-kit.git
ARCHIVE,54.7,duyuanchao/awesome-sora-prompts,video,sora,78,supplemental,sora,sora,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/duyuanchao/awesome-sora-prompts.git
ARCHIVE,54.7,bestimageai/awesome_wan-3-0-prompts,video,wan_3,78,supplemental,Wan 3.0 prompts,Wan 3.0 prompts,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/bestimageai/awesome_wan-3-0-prompts.git
ARCHIVE,54.7,imagineVid/Awesome-wan-3-0-prompts-and-skills,video,wan_3,78,supplemental,wan_3,wan_3,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/imagineVid/Awesome-wan-3-0-prompts-and-skills.git
ARCHIVE,54.0,cliprise/awesome-ai-real-estate-video-prompts,video,multi_video,76,specialized,real_estate_video,real_estate|architecture|property_tour,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/cliprise/awesome-ai-real-estate-video-prompts.git
ARCHIVE,54.0,AndyLeAI/Ideogram_JSON_Prompter,image,ideogram,80,tooling,json_prompting|ideogram,structured_prompting|ideogram,tooling,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/AndyLeAI/Ideogram_JSON_Prompter.git
ARCHIVE,48.5,rlemson7/ideogrammar,image,ideogram,74,tooling,ideogram_prompt_tooling,prompt_building|ideogram,tooling,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/rlemson7/ideogrammar.git
