class_v2,metadata_score,repo,media_type,model_family,repo_quality_score,source_role,specialization,use_case,source_kind,license_spdx,origin_status,class_reason,url
ARCHIVE,55.1,Maritaminded209/awesome-ideogram-4.0-prompts,image,ideogram_4,78,specialized,Ideogram 4.0 prompts,Ideogram 4.0 prompts,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/Maritaminded209/awesome-ideogram-4.0-prompts.git
ARCHIVE,54.7,midjgpt/awesome-midjourney-zh,image,midjourney_zh,78,supplemental,midjourney_zh,midjourney_zh,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/midjgpt/awesome-midjourney-zh.git
ARCHIVE,54.7,dongyubin/Awesome-AI-Images-Prompts,image,multi_image,78,supplemental,multi_image,multi_image,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/dongyubin/Awesome-AI-Images-Prompts.git
ARCHIVE,54.7,loo-y/awesome-nano-banana-prompts,image,nano_banana,78,supplemental,nano_banana,nano_banana,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/loo-y/awesome-nano-banana-prompts.git
ARCHIVE,54.7,velokey-ai/awesome-seedream-5.0-pro-prompts,image,seedream_5_pro,78,supplemental,seedream_5_pro,seedream_5_pro,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/velokey-ai/awesome-seedream-5.0-pro-prompts.git
ARCHIVE,54.7,yuyan124/awesome-stable-diffusion-prompts,image,stable_diffusion,78,supplemental,stable_diffusion,stable_diffusion,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/yuyan124/awesome-stable-diffusion-prompts.git
ARCHIVE,54.7,DSeaStar/awesome-kling,video,kling,78,supplemental,kling,kling,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/DSeaStar/awesome-kling.git
ARCHIVE,54.7,VoidLight00/video-generation-prompts,video,multi_video,78,supplemental,multi_video,multi_video,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/VoidLight00/video-generation-prompts.git
ARCHIVE,54.7,cclank/lanshu-awesome-ai-video-kit,video,multi_video,78,supplemental,multi_video,multi_video,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/cclank/lanshu-awesome-ai-video-kit.git
ARCHIVE,54.7,duyuanchao/awesome-sora-prompts,video,sora,78,supplemental,sora,sora,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/duyuanchao/awesome-sora-prompts.git
ARCHIVE,54.7,bestimageai/awesome_wan-3-0-prompts,video,wan_3,78,supplemental,Wan 3.0 prompts,Wan 3.0 prompts,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/bestimageai/awesome_wan-3-0-prompts.git
ARCHIVE,54.7,imagineVid/Awesome-wan-3-0-prompts-and-skills,video,wan_3,78,supplemental,wan_3,wan_3,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/imagineVid/Awesome-wan-3-0-prompts-and-skills.git
ARCHIVE,54.0,cliprise/awesome-ai-real-estate-video-prompts,video,multi_video,76,specialized,real_estate_video,real_estate|architecture|property_tour,corpus,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/cliprise/awesome-ai-real-estate-video-prompts.git
ARCHIVE,54.0,AndyLeAI/Ideogram_JSON_Prompter,image,ideogram,80,tooling,json_prompting|ideogram,structured_prompting|ideogram,tooling,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/AndyLeAI/Ideogram_JSON_Prompter.git
ARCHIVE,48.5,rlemson7/ideogrammar,image,ideogram,74,tooling,ideogram_prompt_tooling,prompt_building|ideogram,tooling,UNKNOWN,probable_original,"Lower priority, overlap/unclear-license/specialized redundancy; retained for archive/search fallback.",https://github.com/rlemson7/ideogrammar.git
CORE,81.25,wuyoscar/GPT-Image2-Skill,image,gpt_image_2,97,primary,prompt_library|agent_skill|image_editing,general_image|image_editing|research_figures|prompt_templates,corpus,MIT,verified_original,CORE25; primary; verified-origin,https://github.com/wuyoscar/GPT-Image2-Skill.git
CORE,81.1,quanluo/ltx-video-prompts,video,ltx_video,84,primary,ltx_video|reproducible_prompt_cookbook,text_to_video|cinematic|reproducibility,corpus,MIT,verified_original,CORE25; primary; video/business; verified-origin,https://github.com/quanluo/ltx-video-prompts.git
CORE,80.5,EvoLinkAI/awesome-ideogram-4.0-prompts,image,ideogram,92,primary,ideogram_4|typography|product_ui_mockups,typography|poster|portrait|product|ui_mockup,corpus,NOASSERTION,verified_original,CORE25; primary; commerce-fit; verified-origin,https://github.com/EvoLinkAI/awesome-ideogram-4.0-prompts.git
CORE,79.85,OSideMedia/higgsfield-ai-prompt-skill,video,higgsfield,89,tool,higgsfield|seedance_2_5|kling_motion_control|cinematic_prompting|character_consistency,ai_filmmaking|cinematic|motion_control|character_consistency|video_edit_extend,tooling,MIT,verified_original,CORE25; video/business; verified-origin,https://github.com/OSideMedia/higgsfield-ai-prompt-skill.git
CORE,77.85,jijiutong/ai-visual-director,video,multi_video,89,tooling,storyboard|cinematic_direction|multi_platform_video,storyboard|characters|scenes|cinematic_shots|video_prompting,tooling,MIT,verified_original,CORE25; video/business; verified-origin,https://github.com/jijiutong/ai-visual-director.git
CORE,75.7,jamez-bondos/awesome-gpt4o-images,image,gpt4o_gpt_image_1,96,primary,gpt4o|gpt_image_1|curated_gallery,general_image|art|prompt_examples,corpus,NOASSERTION,verified_original,CORE25; primary; verified-origin,https://github.com/jamez-bondos/awesome-gpt4o-images.git
CORE,70.7,cliprise/awesome-ai-ugc-video-prompts,video,multi_video,82,specialized,ugc_video,ugc|creator_ads|tiktok|reels|product_demo,corpus,UNKNOWN,verified_original,CORE25; video/business; commerce-fit; verified-origin,https://github.com/cliprise/awesome-ai-ugc-video-prompts.git
CORE,69.6,cliprise/awesome-ai-product-photography-prompts,image,multi_image,80,specialized,product_photography,product_photography|ecommerce,corpus,UNKNOWN,verified_original,CORE25; commerce-fit; verified-origin,https://github.com/cliprise/awesome-ai-product-photography-prompts.git
CORE,67.6,Anil-matcha/awesome-flux-3-api-prompts,image,flux,92,primary,flux,flux,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/Anil-matcha/awesome-flux-3-api-prompts.git
CORE,67.6,HebeDich/awesome-midjourney-prompts,image,midjourney,92,primary,midjourney,midjourney,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/HebeDich/awesome-midjourney-prompts.git
CORE,67.6,Pixmind-io/awesome-midjourney-v7-example-prompts,image,midjourney_v7,92,primary,midjourney_v7,midjourney_v7,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/Pixmind-io/awesome-midjourney-v7-example-prompts.git
CORE,67.6,JimmyLv/awesome-nano-banana,image,nano_banana,92,primary,nano_banana,nano_banana,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/JimmyLv/awesome-nano-banana.git
CORE,67.6,YouMind-OpenLab/awesome-nano-banana-pro-prompts,image,nano_banana_pro,92,primary,nano_banana_pro,nano_banana_pro,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/YouMind-OpenLab/awesome-nano-banana-pro-prompts.git
CORE,67.6,imagineVid/Awesome-seedream-5-pro-prompts-and-skills,image,seedream_5_pro,92,primary,seedream_5_pro,seedream_5_pro,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/imagineVid/Awesome-seedream-5-pro-prompts-and-skills.git
CORE,67.6,xutongbao/awesome-stable-diffusion-prompts,image,stable_diffusion,92,primary,stable_diffusion,stable_diffusion,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/xutongbao/awesome-stable-diffusion-prompts.git
CORE,67.6,LichAmnesia/awesome-ad-video-prompts,video,ad_video_multi,92,primary,ad_video_multi,ad_video_multi,corpus,UNKNOWN,probable_original,CORE25; primary; video/business,https://github.com/LichAmnesia/awesome-ad-video-prompts.git
CORE,67.6,flaqai/awesome-kling-4-0,video,kling_4,92,primary,kling_4,kling_4,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/flaqai/awesome-kling-4-0.git
CORE,67.6,flaqai/awesome-minimax-h3-video-prompts,video,minimax_h3_hailuo,92,primary,minimax_h3_hailuo,minimax_h3_hailuo,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/flaqai/awesome-minimax-h3-video-prompts.git
CORE,67.6,songguoxs/awesome-video-prompts,video,multi_video,92,primary,multi_video,multi_video,corpus,UNKNOWN,probable_original,CORE25; primary; video/business,https://github.com/songguoxs/awesome-video-prompts.git
CORE,67.6,YouMind-OpenLab/awesome-seedance-2-prompts,video,seedance_2,92,primary,seedance_2,seedance_2,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/YouMind-OpenLab/awesome-seedance-2-prompts.git
CORE,67.6,hr98w/awesome-sora-prompts,video,sora,92,primary,sora,sora,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/hr98w/awesome-sora-prompts.git
CORE,67.6,liu-kaining/Awesome-Veo3-Prompts,video,veo_3,92,primary,veo_3,veo_3,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/liu-kaining/Awesome-Veo3-Prompts.git
CORE,67.6,flaqai/awesome_wan-3-0-prompts,video,wan_3,92,primary,wan_3,wan_3,corpus,UNKNOWN,probable_original,CORE25; primary,https://github.com/flaqai/awesome_wan-3-0-prompts.git
CORE,65.2,weshopai/awesome-Seedance-2.0-prompt,video,seedance_2,84,supplemental,seedance_2,cinematic|ads|ugc|general_video,corpus,UNKNOWN,probable_original,CORE25; video/business; commerce-fit,https://github.com/weshopai/awesome-Seedance-2.0-prompt.git
CORE,64.85,JoeSai/awesome-gpt-image-2-commercial-prompts,image,gpt_image_2_commercial,83,specialized,Commercial/advertising prompts,Commercial/advertising prompts,corpus,UNKNOWN,probable_original,CORE25; commerce-fit,https://github.com/JoeSai/awesome-gpt-image-2-commercial-prompts.git
EXTENDED,83.1,flaqai/awesome-qwen-image-3,image,qwen_image_3,88,primary,qwen_image_3|text_rendering|commercial_illustration,text_to_image|typography|consistent_series|commercial_illustration,corpus,MIT,verified_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/flaqai/awesome-qwen-image-3.git
EXTENDED,72.3,ImgEdify/Awesome-GPT4o-Image-Prompts,image,gpt4o_gpt_image_1,88,supplemental,gpt4o_prompt_examples,general_image|styles|prompt_examples,corpus,MIT,verified_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/ImgEdify/Awesome-GPT4o-Image-Prompts.git
EXTENDED,70.65,galeep/ideogram-typography-prompts,image,ideogram,85,specialized,typography,typography|poster|text_rendering,corpus,BSD-3-Clause,verified_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/galeep/ideogram-typography-prompts.git
EXTENDED,69.2,fairy-root/Flux-Prompt-Generator,image,flux,86,tooling,flux_prompt_generator,prompt_generation|flux,tooling,MIT,verified_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/fairy-root/Flux-Prompt-Generator.git
EXTENDED,69.15,Hunyuan-PromptEnhancer/PromptEnhancer,image,multi_image,95,tooling,prompt_enhancement|prompt_rewrite,prompt_enhancement|image_generation_quality,tooling,NOASSERTION,verified_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/Hunyuan-PromptEnhancer/PromptEnhancer.git
EXTENDED,67.6,imagineVid/Awesome-flux-3-prompts-and-skills,image,flux,92,primary,flux,flux,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/imagineVid/Awesome-flux-3-prompts-and-skills.git
EXTENDED,67.6,Toolcentral-ai/awesome-gpt-image-2-prompts,image,gpt_image_2,92,primary,gpt_image_2,gpt_image_2,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/Toolcentral-ai/awesome-gpt-image-2-prompts.git
EXTENDED,67.6,gptimage2prompts/gpt-image-2-prompts,image,gpt_image_2,92,primary,gpt_image_2,gpt_image_2,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/gptimage2prompts/gpt-image-2-prompts.git
EXTENDED,67.6,AIGC-Hackers/awesome-ai-image-prompts-claude,image,multi_image,92,primary,multi_image,multi_image,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/AIGC-Hackers/awesome-ai-image-prompts-claude.git
EXTENDED,67.6,Lizhizhiyi/awesome-ai-image-prompts,image,multi_image,92,primary,multi_image,multi_image,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/Lizhizhiyi/awesome-ai-image-prompts.git
EXTENDED,67.6,YouMind-OpenLab/awesome-seedream-4.5,image,seedream_4_5,92,primary,seedream_4_5,seedream_4_5,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/YouMind-OpenLab/awesome-seedream-4.5.git
EXTENDED,66.8,ObiriecLabs/ltx-director-prompter,video,ltx_video,78,tool,ltx_video|cinematography|prompt_builder,cinematic_prompting|camera_direction|ltx_video,tooling,UNKNOWN,verified_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/ObiriecLabs/ltx-director-prompter.git
EXTENDED,63.75,flaqai/awesome_seedance_2_5,video,seedance_2_5,81,specialized,seedance_2_5,cinematic|general_video,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/flaqai/awesome_seedance_2_5.git
EXTENDED,62.2,cliprise/awesome-ai-product-video-prompts,video,multi_video,78,specialized,product_video,product_video|ecommerce|demo,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/cliprise/awesome-ai-product-video-prompts.git
EXTENDED,62.2,cliprise/awesome-ai-video-ads-prompts,video,multi_video,78,specialized,video_ads,advertising|social_ads|performance_creative,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/cliprise/awesome-ai-video-ads-prompts.git
EXTENDED,61.7,Eric-Lautanen/seamless-ai-video-prompt-template,video,cinematic_prompting,78,supplemental,cinematic_prompting,cinematic_prompting,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/Eric-Lautanen/seamless-ai-video-prompt-template.git
EXTENDED,61.7,zhouwei713/fpv-immersive-video-prompting,video,cinematic_prompting,78,supplemental,cinematic_prompting,cinematic_prompting,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/zhouwei713/fpv-immersive-video-prompting.git
EXTENDED,61.65,cajias/agentic-video-skills,video,multi_video,81,tooling,agentic_video|video_skills,video_prompting|workflow|storyboard,tooling,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/cajias/agentic-video-skills.git
EXTENDED,61.55,wuwangzhang1216/DirectorSKILL,video,cinematic_prompting,77,specialized,Directing/cinematic prompting,Directing/cinematic prompting,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/wuwangzhang1216/DirectorSKILL.git
EXTENDED,61.45,TemporalLabsLLC-SOL/TemporalPromptEngine,video,cogvideox_hunyuan,81,tool,cogvideox|hunyuan_video|audio|temporal_prompting,video_prompt_engineering|text_to_video|audio_video,tooling,UNKNOWN,verified_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/TemporalLabsLLC-SOL/TemporalPromptEngine.git
EXTENDED,61.0,songyileiwork/cinematic-ai-video-prompt-skill,video,cinematic_prompting,76,specialized,Cinematic video prompt skill,Cinematic video prompt skill,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/songyileiwork/cinematic-ai-video-prompt-skill.git
EXTENDED,61.0,YuuZhen/cinematic-storyboard-director,video,multi_video,80,tooling,cinematic_storyboard,storyboard|cinematic|shot_design,tooling,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/YuuZhen/cinematic-storyboard-director.git
EXTENDED,59.1,EvoLinkAI/awesome-gpt-image-2-API-and-Prompts,image,gpt_image_2,86,supplemental,GPT Image 2 API + prompt examples,GPT Image 2 API + prompt examples,corpus,UNKNOWN,probable_original,Strong supplemental/specialized coverage; use when CORE has no suitable prompt.,https://github.com/EvoLinkAI/awesome-gpt-image-2-API-and-Prompts.git
